modality,observed_aggregate_cka,permutation_count,seed,null_mean,null_std,null_q025,null_q975,excess_over_null_mean,empirical_p_ge
text,0.2091078389091258,200,20260923,0.1358590506549116,0.0026184915582648438,0.13044245519395156,0.14137504494387826,0.07324878825421419,0.004975124378109453
audio,0.08746026692366198,200,20260923,0.002880631074631746,0.0031107539723004866,0.0003720350837480851,0.012334048276483793,0.08457963584903024,0.004975124378109453
vision,0.02132516902324827,200,20260923,0.004785986317671149,0.0028271254147371316,0.0014868277683523581,0.011596389948324994,0.01653918270557712,0.004975124378109453
